dcr_regiao,id_projeto,nom_projeto,cd_talhao,data_cto,dcr_operacao,flag_cto_executado,data_inicio_operacao,dcr_municipio,dcr_estado,vlr_area
BRACELL MG,5009,SANTA IZA,010-01,2025-03-08,CORTE HARVESTER,S,2025-03-07,Veríssimo,MINAS GERAIS,11.08
BRACELL SP,1106,ALVORADA VIII,004-01,2024-12-24,CORTE HARVESTER,S,2024-12-24,Itapetininga,SÃO PAULO,0.73
BRACELL SP,0351,SANTA MARIANA II,048-01,2024-11-30,CORTE HARVESTER,S,2024-11-28,Oriente,SÃO PAULO,32.16
BRACELL SP,0351,SANTA MARIANA II,019-01,2024-12-31,CORTE HARVESTER,S,2024-12-18,Oriente,SÃO PAULO,32.16
BRACELL SP,0351,SANTA MARIANA II,016-01,2024-12-26,CORTE HARVESTER,S,2024-12-20,Oriente,SÃO PAULO,32.16
BRACELL SP,0351,SANTA MARIANA II,018-01,2024-12-26,CORTE HARVESTER,S,2024-12-18,Oriente,SÃO PAULO,32.16
BRACELL SP,0351,SANTA MARIANA II,020-01,2024-12-31,CORTE HARVESTER,S,2024-12-28,Oriente,SÃO PAULO,32.16
BRACELL SP,0378,USINA PAREDÃO,014-01,,CORTE HARVESTER,N,2025-06-06,Oriente,SÃO PAULO,40.42
BRACELL SP,0351,SANTA MARIANA II,033-01,2025-01-19,CORTE HARVESTER,S,2024-11-28,Oriente,SÃO PAULO,32.16
BRACELL SP,1106,ALVORADA VIII,005-01,2024-12-27,CORTE HARVESTER,S,2024-12-27,Itapetininga,SÃO PAULO,0.73
BRACELL BA OESTE,8130,RIO TORTO,015-01,2025-04-21,CORTE HARVESTER,S,2025-04-15,Alagoinhas,BAHIA,17.89
BRACELL BA OESTE,8038,CONCEIÇÃO,003-01,2025-05-14,CORTE HARVESTER,S,2025-05-12,Alagoinhas,BAHIA,3.54
BRACELL MG,5010,NOVAES,004-01,2025-05-16,CORTE HARVESTER,S,2025-05-12,Uberlândia,MINAS GERAIS,162.14
BRACELL SP,1106,ALVORADA VIII,012-01,2024-12-30,CORTE HARVESTER,S,2024-12-30,Itapetininga,SÃO PAULO,0.73
BRACELL SP,0353,ARAGUAIA,005-01,2025-01-10,CORTE HARVESTER,S,2025-01-01,Lucianópolis,SÃO PAULO,5.49
BRACELL SP,1106,ALVORADA VIII,010-01,2024-12-30,CORTE HARVESTER,S,2024-12-29,Itapetininga,SÃO PAULO,0.73
BRACELL SP,1106,ALVORADA VIII,002-01,2024-12-28,CORTE HARVESTER,S,2024-12-28,Itapetininga,SÃO PAULO,0.73
BRACELL SP,1106,ALVORADA VIII,001-01,2024-12-27,CORTE HARVESTER,S,2024-12-27,Itapetininga,SÃO PAULO,0.73
BRACELL SP,1106,ALVORADA VIII,009-01,2024-12-28,CORTE HARVESTER,S,2024-12-27,Itapetininga,SÃO PAULO,0.73
BRACELL SP,1106,ALVORADA VIII,007-01,2024-12-28,CORTE HARVESTER,S,2024-12-27,Itapetininga,SÃO PAULO,0.73
BRACELL SP,1106,ALVORADA VIII,008-01,2024-12-24,CORTE HARVESTER,S,2024-12-23,Itapetininga,SÃO PAULO,0.73
BRACELL SP,0657,SANTO ANTÔNIO DOS PALMARES,023-01,2025-04-14,CORTE HARVESTER,S,2025-03-23,Botucatu,SÃO PAULO,2.62
BRACELL SP,0443,SANTA EMÍLIA II - GLEBA A,009-01,2025-02-16,CORTE HARVESTER,S,2025-01-26,Marília,SÃO PAULO,8.19
BRACELL SP,0456,VENEZA,006-02,2025-05-30,CORTE HARVESTER,S,2025-05-23,Pompéia,SÃO PAULO,27.25
BRACELL SP,0469,2T,004-01,2025-02-08,CORTE HARVESTER,S,2025-02-08,Avaré,SÃO PAULO,29.47
BRACELL SP,0351,SANTA MARIANA II,021-01,2025-04-20,CORTE HARVESTER,S,2025-04-15,Oriente,SÃO PAULO,32.16
BRACELL SP,0456,VENEZA,007-02,2025-05-31,CORTE HARVESTER,S,2025-05-21,Pompéia,SÃO PAULO,27.25
BRACELL SP,0469,2T,001-01,2025-02-06,CORTE HARVESTER,S,2025-02-05,Avaré,SÃO PAULO,29.47
BRACELL MG,5019,SAN NELO,020-01,2025-04-13,CORTE HARVESTER,S,2025-04-03,Sacramento,MINAS GERAIS,1.34
BRACELL SP,0358,SÃO JOSÉ IV - GLEBA I,001-01,2025-02-07,CORTE HARVESTER,S,2025-02-03,Avaí,SÃO PAULO,1.89
BRACELL SP,0354,CANDEIAS,012-01,2025-01-27,CORTE HARVESTER,S,2025-01-21,Lucianópolis,SÃO PAULO,14.4
BRACELL SP,0371,MANGA LARGA,019-01,2024-10-15,CORTE HARVESTER,S,2024-10-12,Getulina,SÃO PAULO,29.59
BRACELL SP,0375,SÃO JOSÉ DA BELA VISTA,036-01,2024-07-16,CORTE HARVESTER,S,2024-07-13,Pirajuí,SÃO PAULO,7.64
BRACELL SP,0375,SÃO JOSÉ DA BELA VISTA,026-01,2024-07-15,CORTE HARVESTER,S,2024-07-08,Pirajuí,SÃO PAULO,7.64
BRACELL MG,5020,SAN NELO III,002-01,,CORTE HARVESTER,N,,Araxá,MINAS GERAIS,0.13
BRACELL BA OESTE,8019,BONFIM,029-01,2025-06-26,CORTE HARVESTER,N,2025-06-19,Duartina,SÃO PAULO,2.99
BRACELL SP,2012,MARRUÁ,007-01,,CORTE HARVESTER,N,2025-06-23,Agudos,SÃO PAULO,0.03
BRACELL MG,5020,SAN NELO III,001-01,,CORTE HARVESTER,N,,Araxá,MINAS GERAIS,0.13
BRACELL SP,0375,SÃO JOSÉ DA BELA VISTA,023-01,2024-07-19,CORTE HARVESTER,S,2024-07-09,Pirajuí,SÃO PAULO,7.64
BRACELL SP,0375,SÃO JOSÉ DA BELA VISTA,021-01,2024-07-21,CORTE HARVESTER,S,2024-07-16,Pirajuí,SÃO PAULO,7.64
BRACELL BA OESTE,8182,SUBAÚMA MIRIM,098-01,2025-04-10,CORTE HARVESTER,S,2025-04-09,Aramari,BAHIA,17.37
BRACELL SP,2012,MARRUÁ,008-01,,CORTE HARVESTER,N,,Agudos,SÃO PAULO,0.03
BRACELL SP,2012,MARRUÁ,005-01,,CORTE HARVESTER,N,,Agudos,SÃO PAULO,0.03
BRACELL SP,0375,SÃO JOSÉ DA BELA VISTA,038-01,2024-07-17,CORTE HARVESTER,S,2024-07-14,Pirajuí,SÃO PAULO,7.64
BRACELL SP,0375,SÃO JOSÉ DA BELA VISTA,039-01,2024-07-17,CORTE HARVESTER,S,2024-07-15,Pirajuí,SÃO PAULO,7.64
BRACELL SP,0375,SÃO JOSÉ DA BELA VISTA,009-01,2024-07-29,CORTE HARVESTER,S,2024-07-25,Pirajuí,SÃO PAULO,7.64
BRACELL SP,0391,ESTÂNCIA ELIENE,003-01,2025-01-06,CORTE HARVESTER,S,2025-01-04,Getulina,SÃO PAULO,4.67
BRACELL SP,0391,ESTÂNCIA ELIENE,002-01,2025-01-09,CORTE HARVESTER,S,2025-01-05,Getulina,SÃO PAULO,4.67
BRACELL SP,2012,MARRUÁ,003-01,,CORTE HARVESTER,N,2025-06-20,Agudos,SÃO PAULO,0.03
BRACELL SP,2012,MARRUÁ,004-01,,CORTE HARVESTER,N,,Agudos,SÃO PAULO,0.03
